Frame,RMSD
0,0
1,0.518095880746842
2,0.638185292482376
3,0.606165498495102
4,0.625464469194412
5,0.620326459407806
6,0.632510244846344
7,0.644049137830734
8,0.66516962647438
9,0.679390072822571
10,0.682083666324615
11,0.675987273454666
12,0.659086793661118
13,0.657249718904495
14,0.686024010181427
15,0.701004326343537
16,0.747611433267594
17,0.792860269546509
18,0.736340045928955
19,0.741640686988831
20,0.780986398458481
21,0.734779000282287
22,0.692968130111695
23,0.667173385620117
24,0.790108233690262
25,0.726084768772125
26,0.77175897359848
