Frame,Time,RMSD
0,0,0
1,0.049,0.507051229476929
2,0.098,0.715063095092773
3,0.147,0.612992703914642
4,0.196,0.547251045703888
5,0.245,0.574453115463257
6,0.294,0.622486710548401
7,0.343,0.628820657730103
8,0.392,0.664076149463654
9,0.441,0.637844026088715
10,0.49,0.666504085063934
11,0.539,0.656874418258667
12,0.588,0.687888026237488
13,0.637,0.746577739715576
14,0.686,0.682722568511963
15,0.735,0.784874737262726
16,0.784,0.770800590515137
17,0.833,0.756493628025055
18,0.882,0.696808338165283
19,0.931,0.748021721839905
20,0.98,0.746627271175385
21,1.029,0.715477108955383
22,1.078,0.656196177005768
23,1.127,0.701320469379425
24,1.176,0.768612742424011
25,1.225,0.69617760181427
26,1.274,0.767878353595734
27,1.323,0.717740535736084
28,1.372,0.782955527305603
29,1.421,0.876253545284271
30,1.47,0.890107870101929
31,1.519,0.849791347980499
32,1.568,0.821858823299408
33,1.617,0.848796844482422
34,1.666,0.642653226852417
35,1.715,0.789164483547211
36,1.764,0.699406385421753
37,1.813,0.697723746299744
38,1.862,0.688752114772797
39,1.911,0.671583414077759
40,1.96,0.671766102313995
41,2.009,0.828249335289001
42,2.058,0.980451703071594
43,2.107,1.03032279014587
44,2.156,0.977802872657776
45,2.205,0.807595610618591
46,2.254,0.745318949222565
47,2.303,0.730809688568115
48,2.352,0.791887879371643
49,2.401,0.795781314373016
50,2.45,0.757547855377197
51,2.499,0.840347290039062
52,2.548,0.725851237773895
53,2.597,0.686151623725891
54,2.646,0.690466523170471
55,2.695,0.584713339805603
56,2.744,0.690929651260376
57,2.793,0.682593882083893
58,2.842,0.796223342418671
59,2.891,0.779575705528259
60,2.94,0.752666592597961
61,2.989,0.835795700550079
62,3.038,0.89818012714386
63,3.087,0.819390475749969
64,3.136,0.807593584060669
65,3.185,0.798425853252411
66,3.234,0.729546189308167
67,3.283,0.838268578052521
68,3.332,0.91562432050705
69,3.381,0.878093540668488
70,3.43,0.816450655460358
71,3.479,0.803713321685791
72,3.528,0.709919929504395
73,3.577,0.830522179603577
74,3.626,0.893647789955139
75,3.675,0.854388236999512
76,3.724,0.83860319852829
77,3.773,0.832637012004852
78,3.822,0.742120981216431
79,3.871,0.718013107776642
80,3.92,0.814192056655884
81,3.969,1.02311563491821
82,4.018,0.913589596748352
83,4.067,0.738957345485687
84,4.116,0.963490664958954
85,4.165,0.862080037593842
86,4.214,0.742550432682037
87,4.263,0.797465145587921
88,4.312,0.702738344669342
89,4.361,0.72583931684494
90,4.41,0.760558068752289
91,4.459,0.852326095104218
92,4.508,0.867002606391907
93,4.557,0.836921274662018
94,4.606,0.744378089904785
95,4.655,0.763138592243195
96,4.704,0.803581297397614
97,4.753,0.796584904193878
98,4.802,0.76051926612854
99,4.851,0.888334572315216
100,4.9,0.671022653579712
101,4.949,0.755963087081909
102,4.998,0.829787194728851
103,5.047,0.694292783737183
104,5.096,0.682927846908569
105,5.145,0.83689820766449
106,5.194,0.812607884407043
107,5.243,0.840603232383728
108,5.292,0.774520874023438
109,5.341,0.882528305053711
110,5.39,0.864357829093933
111,5.439,0.810671865940094
112,5.488,0.840431690216064
113,5.537,0.815679430961609
114,5.586,0.898993313312531
115,5.635,0.793047726154327
116,5.684,0.790094196796417
117,5.733,0.700978934764862
118,5.782,0.828406691551208
119,5.831,0.842189252376556
120,5.88,0.76007354259491
121,5.929,0.762627840042114
122,5.978,0.777674436569214
123,6.027,0.827767670154572
124,6.076,0.81154191493988
125,6.125,0.841045141220093
126,6.174,0.873445332050323
127,6.223,0.88088321685791
128,6.272,0.78979229927063
129,6.321,0.944815814495087
130,6.37,0.993034482002258
131,6.419,0.766629576683044
132,6.468,0.817394435405731
133,6.517,0.815402925014496
134,6.566,0.879459202289581
135,6.615,0.74293041229248
136,6.664,0.801715970039368
137,6.713,0.755590558052063
138,6.762,0.881253182888031
139,6.811,0.83477771282196
140,6.86,0.896470606327057
141,6.909,0.777835726737976
142,6.958,0.84182071685791
143,7.007,0.821447968482971
144,7.056,0.769772410392761
145,7.105,0.617938220500946
146,7.154,0.698407232761383
147,7.203,0.809103429317474
148,7.252,0.817610561847687
149,7.301,0.86268424987793
150,7.35,0.827747166156769
151,7.399,0.961439251899719
152,7.448,0.855825781822205
153,7.497,1.05062568187714
154,7.546,0.728342592716217
155,7.595,0.719241261482239
156,7.644,0.812345445156097
157,7.693,0.829684734344482
158,7.742,0.925585806369781
159,7.791,0.85695880651474
160,7.84,0.83490252494812
161,7.889,0.910756886005402
162,7.938,0.804228484630585
163,7.987,0.821476697921753
164,8.036,0.883431494235992
165,8.085,0.839879930019379
166,8.134,0.87236762046814
167,8.183,0.845012187957764
168,8.232,0.846632897853851
169,8.281,0.83629310131073
170,8.33,0.893375813961029
171,8.379,0.830470502376556
172,8.428,0.87471866607666
173,8.477,0.896979987621307
174,8.526,0.920306742191315
175,8.575,0.937689423561096
176,8.624,0.831192135810852
177,8.673,0.875378429889679
178,8.722,0.800347983837128
179,8.771,0.783141613006592
180,8.82,0.59742283821106
181,8.869,0.738595306873322
182,8.918,0.75382000207901
183,8.967,0.824960172176361
184,9.016,0.828168928623199
185,9.065,0.737995982170105
186,9.114,0.79238086938858
187,9.163,0.756852984428406
188,9.212,0.830507099628448
189,9.261,0.853393614292145
190,9.31,0.836286604404449
191,9.359,1.03719222545624
192,9.408,1.0016462802887
193,9.457,1.1812664270401
194,9.506,1.17887210845947
195,9.555,1.09634733200073
196,9.604,1.01332259178162
197,9.653,0.973794162273407
198,9.702,0.792199969291687
199,9.751,0.72282212972641
200,9.8,0.683347523212433
201,9.849,0.781106650829315
202,9.898,0.64716762304306
203,9.947,0.910774111747742
204,9.996,0.753441333770752
205,10.045,0.93843674659729
206,10.094,0.72783637046814
207,10.143,0.833498299121857
208,10.192,0.780291318893433
209,10.241,0.676680624485016
210,10.29,0.749050319194794
211,10.339,0.786211609840393
212,10.388,0.831078886985779
213,10.437,0.81543380022049
214,10.486,0.810223996639252
215,10.535,0.786590158939362
216,10.584,0.839225351810455
217,10.633,0.865176260471344
218,10.682,0.804422736167908
219,10.731,0.817894041538239
220,10.78,0.758225381374359
221,10.829,0.670620501041412
222,10.878,0.654702126979828
223,10.927,0.726166784763336
224,10.976,0.628965556621552
225,11.025,0.541241407394409
226,11.074,0.679801464080811
